2026-05-16 21:38:22 - INFO - train: 180887, valid: 7703, test: 20170
2026-05-17 00:02:24 - INFO - epoch-40, train_loss-0.3639, train_rmse-0.6032, valid_rmse-0.6794, valid_pr-0.8142
2026-05-17 00:05:20 - INFO - epoch-41, train_loss-0.3624, train_rmse-0.6020, valid_rmse-0.6775, valid_pr-0.8195
2026-05-17 00:08:11 - INFO - epoch-42, train_loss-0.3561, train_rmse-0.5967, valid_rmse-0.6823, valid_pr-0.8150
2026-05-17 00:11:05 - INFO - epoch-43, train_loss-0.3542, train_rmse-0.5951, valid_rmse-0.6719, valid_pr-0.8172
2026-05-17 00:13:56 - INFO - epoch-44, train_loss-0.3501, train_rmse-0.5917, valid_rmse-0.6874, valid_pr-0.8199
2026-05-17 00:16:45 - INFO - epoch-45, train_loss-0.3474, train_rmse-0.5894, valid_rmse-0.6787, valid_pr-0.8221
2026-05-17 00:19:36 - INFO - epoch-46, train_loss-0.3434, train_rmse-0.5860, valid_rmse-0.6719, valid_pr-0.8191
2026-05-17 00:22:27 - INFO - epoch-47, train_loss-0.3402, train_rmse-0.5833, valid_rmse-0.6823, valid_pr-0.8214
2026-05-17 00:25:25 - INFO - epoch-48, train_loss-0.3381, train_rmse-0.5815, valid_rmse-0.6663, valid_pr-0.8217
2026-05-17 00:28:21 - INFO - epoch-49, train_loss-0.3329, train_rmse-0.5770, valid_rmse-0.6859, valid_pr-0.8159
2026-05-17 00:31:12 - INFO - epoch-50, train_loss-0.3311, train_rmse-0.5754, valid_rmse-0.6747, valid_pr-0.8219
2026-05-17 00:34:02 - INFO - epoch-51, train_loss-0.3295, train_rmse-0.5741, valid_rmse-0.6829, valid_pr-0.8168
2026-05-17 00:36:57 - INFO - epoch-52, train_loss-0.3250, train_rmse-0.5701, valid_rmse-0.6745, valid_pr-0.8211
2026-05-17 00:39:47 - INFO - epoch-53, train_loss-0.3232, train_rmse-0.5685, valid_rmse-0.6641, valid_pr-0.8224
2026-05-17 00:42:36 - INFO - epoch-54, train_loss-0.3210, train_rmse-0.5666, valid_rmse-0.6803, valid_pr-0.8179
2026-05-17 00:45:27 - INFO - epoch-55, train_loss-0.3198, train_rmse-0.5655, valid_rmse-0.6657, valid_pr-0.8243
2026-05-17 00:48:16 - INFO - epoch-56, train_loss-0.3163, train_rmse-0.5624, valid_rmse-0.6877, valid_pr-0.8195
2026-05-17 00:51:06 - INFO - epoch-57, train_loss-0.3143, train_rmse-0.5606, valid_rmse-0.6647, valid_pr-0.8241
